Sample_Pep	Group	Count_1	Count_2	Intensity_1	Intensity_2
137	PHA	370	426	4566	6329
150	PHA	8	8	60	25
128	PHA	195	202	2025	2176
135	PHA	138	130	1312	1258
138	PHA	123	508	1212	7029
159	PHA	107	121	1088	1416
129	PHA	179	205	2153	2639
147	PHA	42	35	321	218
139	PHA	218	533	2581	7265
130	PHA	462	563	7370	8250
157	PHA	75	74	628	571
140	PHA	19	12	60	33
146	PHA	11	6	75	14
158	PHA	206	202	2570	2475
148	PHA	114	125	1195	1360
101	NEG	83	83	409	409
102	NEG	22	22	65	65
103	NEG	54	54	210	210
104	NEG	216	216	1021	1021
150	NEG	8	8	50	50
105	NEG	32	32	217	217
106	NEG	58	58	240	240
107	NEG	33	33	126	126
108	NEG	48	48	175	175
109	NEG	59	59	121	121
110	NEG	106	106	588	588
111	NEG	58	58	215	215
112	NEG	66	66	227	227
113	NEG	14	14	61	61
114	NEG	113	113	490	490
115	NEG	86	86	419	419
159	NEG	23	23	50	50
141	NEG	13	13	56	56
142	NEG	8	8	38	38
143	NEG	43	43	149	149
144	NEG	33	33	95	95
145	NEG	34	34	109	109
116	NEG	54	54	166	166
117	NEG	2	2	7	7
118	NEG	53	53	161	161
119	NEG	232	232	1017	1017
120	NEG	44	44	157	157
121	NEG	9	9	18	18
146	NEG	0	0	0	0
122	NEG	43	43	228	228
123	NEG	22	22	77	77
124	NEG	12	12	20	20
125	NEG	39	39	154	154
126	NEG	1	1	9	9
127	NEG	57	57	231	231
128	NEG	45	45	150	150
129	NEG	88	88	320	320
130	NEG	60	60	192	192
131	NEG	192	192	1022	1022
134	NEG	117	117	509	509
158	NEG	34	34	84	84
135	NEG	84	84	486	486
147	NEG	47	47	172	172
157	NEG	27	27	107	107
158	NEG	53	53	193	193
136	NEG	113	113	565	565
137	NEG	128	128	660	660
138	NEG	115	115	563	563
139	NEG	43	43	133	133
140	NEG	15	15	46	46
148	NEG	141	141	653	653
149	NEG	81	81	308	308
